
Period 1:
============================================================================================================================================
Demand ID    | Src -> Dst                              | Required (Gbps)  | Allocated (Gbps)  | Deficit (Gbps)  | Status            
-------------+-----------------------------------------+------------------+-------------------+-----------------+-------------------
0            | Norden <-> Hamburg                      | 0.0              | 0.0               | 0.0             | OK                
1            | Norden <-> Bremen                       | 15.0             | 40.0              | 0.0             | OK                
2            | Norden <-> Berlin                       | 0.0              | 0.0               | 0.0             | OK                
3            | Norden <-> Hannover                     | 0.0              | 0.0               | 0.0             | OK                
4            | Norden <-> Essen                        | 0.0              | 0.0               | 0.0             | OK                
5            | Norden <-> Dortmund                     | 30.0             | 40.0              | 0.0             | OK                
6            | Norden <-> Duesseldorf                  | 0.0              | 0.0               | 0.0             | OK                
7            | Norden <-> Leipzig                      | 0.0              | 0.0               | 0.0             | OK                
8            | Norden <-> Koeln                        | 0.0              | 0.0               | 0.0             | OK                
9            | Norden <-> Frankfurt                    | 154.0            | 200.0             | 0.0             | OK                
10           | Norden <-> Nuernberg                    | 0.0              | 0.0               | 0.0             | OK                
11           | Norden <-> Mannheim                     | 0.0              | 0.0               | 0.0             | OK                
12           | Norden <-> Karlsruhe                    | 0.0              | 0.0               | 0.0             | OK                
13           | Norden <-> Stuttgart                    | 0.0              | 0.0               | 0.0             | OK                
14           | Norden <-> Ulm                          | 0.0              | 0.0               | 0.0             | OK                
15           | Norden <-> Muenchen                     | 0.0              | 0.0               | 0.0             | OK                
17           | Hamburg <-> Bremen                      | 45.0             | 100.0             | 0.0             | OK                
18           | Hamburg <-> Berlin                      | 135.0            | 140.0             | 0.0             | OK                
19           | Hamburg <-> Hannover                    | 72.0             | 100.0             | 0.0             | OK                
20           | Hamburg <-> Essen                       | 30.0             | 40.0              | 0.0             | OK                
21           | Hamburg <-> Dortmund                    | 105.0            | 110.0             | 0.0             | OK                
22           | Hamburg <-> Duesseldorf                 | 165.0            | 200.0             | 0.0             | OK                
23           | Hamburg <-> Leipzig                     | 147.0            | 200.0             | 0.0             | OK                
24           | Hamburg <-> Koeln                       | 72.0             | 100.0             | 0.0             | OK                
25           | Hamburg <-> Frankfurt                   | 528.0            | 540.0             | 0.0             | OK                
26           | Hamburg <-> Nuernberg                   | 273.0            | 300.0             | 0.0             | OK                
27           | Hamburg <-> Mannheim                    | 60.0             | 100.0             | 0.0             | OK                
28           | Hamburg <-> Karlsruhe                   | 30.0             | 40.0              | 0.0             | OK                
29           | Hamburg <-> Stuttgart                   | 234.0            | 240.0             | 0.0             | OK                
30           | Hamburg <-> Ulm                         | 30.0             | 40.0              | 0.0             | OK                
31           | Hamburg <-> Muenchen                    | 285.0            | 300.0             | 0.0             | OK                
34           | Bremen <-> Berlin                       | 40.5             | 100.0             | 0.0             | OK                
35           | Bremen <-> Hannover                     | 18.0             | 40.0              | 0.0             | OK                
36           | Bremen <-> Essen                        | 7.5              | 10.0              | 0.0             | OK                
37           | Bremen <-> Dortmund                     | 26.2             | 40.0              | 0.0             | OK                
38           | Bremen <-> Duesseldorf                  | 41.2             | 100.0             | 0.0             | OK                
39           | Bremen <-> Leipzig                      | 36.8             | 40.0              | 0.0             | OK                
